id,pos
0,"-34.627484,-58.35834"
1,"-34.627254,-58.358688"
2,"-34.628263,-58.359697"
3,"-34.628413,-58.359847"
4,"-34.62852,-58.359933"
5,"-34.629271,-58.360641"
6,"-34.630108,-58.361456"
7,"-34.629443,-58.362443"
8,"-34.628949,-58.363173"
9,"-34.628863,-58.363323"
10,"-34.628477,-58.363903"
11,"-34.627962,-58.364675"
12,"-34.627469,-58.365448"
13,"-34.627318,-58.365662"
14,"-34.626975,-58.366177"
15,"-34.626803,-58.366306"
16,"-34.626653,-58.366349"
17,"-34.625173,-58.366477"
18,"-34.624035,-58.366628"
19,"-34.624078,-58.368044"
20,"-34.622791,-58.368194"
21,"-34.621997,-58.36828"
22,"-34.621673,-58.368304"
23,"-34.62062,-58.368444"
24,"-34.620388,-58.368473"
25,"-34.619401,-58.368495"
26,"-34.618285,-58.368602"
27,"-34.617834,-58.368688"
28,"-34.617102,-58.368919"
29,"-34.615812,-58.369111"
30,"-34.614955,-58.369172"
31,"-34.614795,-58.369175"
32,"-34.61359,-58.369228"
33,"-34.612315,-58.369322"
34,"-34.61117,-58.369378"
35,"-34.609944,-58.369405"
36,"-34.609564,-58.369419"
37,"-34.609472,-58.369408"
38,"-34.609393,-58.369358"
39,"-34.609362,-58.369319"
40,"-34.609283,-58.36924"
41,"-34.609227,-58.369186"
42,"-34.609176,-58.369136"
43,"-34.6091,-58.36902"
44,"-34.609033,-58.368918"
45,"-34.608928,-58.36881"
46,"-34.608837,-58.368714"
47,"-34.608753,-58.368648"
48,"-34.608686,-58.368595"
49,"-34.608593,-58.368539"
50,"-34.608503,-58.368484"
51,"-34.608407,-58.368449"
52,"-34.608291,-58.368407"
53,"-34.608082,-58.368365"
54,"-34.60777,-58.36835"
55,"-34.60752,-58.368373"
56,"-34.607449,-58.368389"
57,"-34.607308,-58.368419"
58,"-34.607211,-58.368469"
59,"-34.607109,-58.368522"
60,"-34.606929,-58.368645"
61,"-34.606803,-58.368779"
62,"-34.606594,-58.368983"
63,"-34.606518,-58.369106"
64,"-34.606482,-58.369173"
65,"-34.606439,-58.369252"
66,"-34.606367,-58.369413"
67,"-34.606281,-58.369555"
68,"-34.606218,-58.36967"
69,"-34.606161,-58.369735"
70,"-34.606067,-58.369814"
71,"-34.605951,-58.369912"
72,"-34.605874,-58.369951"
73,"-34.605791,-58.369978"
74,"-34.605364,-58.37004"
75,"-34.604666,-58.370127"
76,"-34.604552,-58.370134"
77,"-34.604305,-58.370136"
78,"-34.603249,-58.370226"
79,"-34.603029,-58.370222"
80,"-34.60293,-58.370203"
81,"-34.601937,-58.370325"
82,"-34.600808,-58.370465"
83,"-34.600709,-58.370502"
84,"-34.600628,-58.370537"
85,"-34.599585,-58.370785"
86,"-34.59865,-58.371017"
87,"-34.598519,-58.371047"
88,"-34.598388,-58.371115"
89,"-34.598209,-58.371193"
90,"-34.597134,-58.371758"
91,"-34.596139,-58.372254"
92,"-34.594862,-58.372849"
93,"-34.59454,-58.372914"
94,"-34.594475,-58.372914"
95,"-34.594226,-58.373067"
96,"-34.593961,-58.373289"
97,"-34.593777,-58.37347"
98,"-34.593495,-58.373815"
99,"-34.592793,-58.375232"
100,"-34.592664,-58.375425"
101,"-34.59187,-58.376691"
102,"-34.591098,-58.377872"
103,"-34.59039,-58.378944"
104,"-34.590111,-58.379438"
105,"-34.589317,-58.380919"
106,"-34.58878,-58.381906"
107,"-34.588287,-58.382828"
108,"-34.587686,-58.38388"
109,"-34.587042,-58.38506"
110,"-34.586613,-58.385918"
111,"-34.586141,-58.386798"
112,"-34.585841,-58.387399"
113,"-34.585519,-58.388042"
114,"-34.58509,-58.388686"
115,"-34.584811,-58.389201"
116,"-34.584618,-58.389077"
117,"-34.584137,-58.390158"
118,"-34.584278,-58.390365"
119,"-34.584171,-58.390609"
120,"-34.583695,-58.391669"
121,"-34.582987,-58.393171"
122,"-34.582493,-58.394351"
123,"-34.581721,-58.39596"
124,"-34.580669,-58.398063"
125,"-34.579618,-58.40023"
126,"-34.578953,-58.401411"
127,"-34.578524,-58.402162"
128,"-34.578223,-58.402634"
129,"-34.577601,-58.403471"
130,"-34.576528,-58.40493"
131,"-34.575799,-58.405809"
132,"-34.575176,-58.406646"
133,"-34.574575,-58.40759"
134,"-34.572215,-58.410959"
135,"-34.572086,-58.411088"
136,"-34.571979,-58.411217"
137,"-34.57155,-58.411582"
138,"-34.571378,-58.41171"
139,"-34.571335,-58.411839"
140,"-34.571357,-58.411989"
141,"-34.57251,-58.41276"
142,"-34.5735895417551,-58.4137483583037"
143,"-34.574211,-58.414328"
144,"-34.5744921226929,-58.4148323780872"
145,"-34.57456,-58.41504"
146,"-34.57452,-58.41531"
147,"-34.57431,-58.41604"
148,"-34.5736240441817,-58.41738737152"
149,"-34.57242,-58.41996"
150,"-34.57141,-58.42225"
151,"-34.57107,-58.42314"
152,"-34.5709351271632,-58.4237485553436"
153,"-34.57041,-58.42468"
154,"-34.5695503796642,-58.4261972306085"
155,"-34.5692064310666,-58.4267825400982"
156,"-34.5687833966744,-58.4275290055469"
157,"-34.5677418516806,-58.4293435022698"
158,"-34.5673,-58.4301"
159,"-34.5671,-58.43046"
160,"-34.5669614390276,-58.4308841830809"
161,"-34.5663884400625,-58.431855595389"
162,"-34.5653909145203,-58.433535049387"
163,"-34.5651502997205,-58.4339433484542"
164,"-34.5649574348345,-58.4342632355718"
165,"-34.5636987769515,-58.4363623665462"
166,"-34.5633839259576,-58.4368622484558"
167,"-34.5631063795839,-58.4375053801068"
168,"-34.56288,-58.43825"
169,"-34.5627564622471,-58.4388658796027"
170,"-34.5625550172985,-58.4393575544959"
