ID,CALLE,ALT PLANO,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,L_SENTIDO,CATEGORIA
"1",DEFENSA,"1524",-58.3709946,-34.6256588,"1",SAN TELMO,"22",V,"53",I,,,,,,,,,"22-Retiro (CABA)|53-El Palomar (Mor�n), Flores (CABA), Jos� C. Paz (Jos� C. Paz), San Miguel (San Miguel)",OFICIAL
"2",DEFENSA,"1528",-58.3709994,-34.6257106,"1",SAN TELMO,"29",I,"24",V,,,,,,,,,"29-Belgrano (CABA), Nu�ez (CABA), Olivos (Vicente L�pez), Saavedra (CABA)",OFICIAL
"3",BARTOLOME MITRE,"906",-58.3796587,-34.6072156,"1",SAN NICOLAS,"105",V,,,,,,,,,,,105-San Nicolas (CABA),OFICIAL
"4",REGIMIENTO DE PATRICIOS AV.,"51",-58.3706639,-34.6302258,"4",BARRACAS,"93",I,"70",V,"74",I,,,,,,,93-Pi�eyro (Avellaneda),OFICIAL
"8",REGIMIENTO DE PATRICIOS AV.,"389",-58.3703604,-34.6334097,"4",BARRACAS,"10",I,"22",I,,,,,,,,,"10-Villa Dom�nico (Avellaneda), Wilde (Avellaneda)|22-Quilmes (Quilmes)",OFICIAL
"9",REGIMIENTO DE PATRICIOS AV.,"435",-58.3702771,-34.6340118,"4",BARRACAS,"24",i,"46",V,,,,,,,,,24-Wilde (Avellaneda)|46-Boca (CABA),OFICIAL
"10",REGIMIENTO DE PATRICIOS AV.,"471",-58.3702328,-34.6342993,"4",BARRACAS,"39",V,"93",I,,,,,,,,,"39-Barracas (CABA), Boca (CABA)|93-Pi�eyro (Avellaneda)",OFICIAL
"11",BARTOLOME MITRE,"1464",-58.38715257,-34.60775698,"1",SAN NICOLAS,"105",V,"98",I,,,,,,,,,105-San Nicolas (CABA),OFICIAL
"12",REGIMIENTO DE PATRICIOS AV.,"673",-58.3699335,-34.6361996,"4",BARRACAS,"70",V,"74",I,,,,,,,,,"70-Barracas (CABA), Valent�n Alsina (Lan�s)|74-Burzaco (Almirante Brown)",OFICIAL
"13",BARTOLOME MITRE,"1444",-58.38690677,-34.60774163,"1",SAN NICOLAS,"5",I,"7",V,,,,,,,,,"5-Recoleta (CABA), Retiro (CABA)|7-Retiro (CABA)",OFICIAL
